Designator,Value,Part,Footprint,Qty,Notes
R1 R2 R9 R10 R36 R37,499k 1%,,R_0805_2012Metric,6,Input resistor split in two so each sees half the voltage
R3 R11 R38,125k 1%,,R_0805_2012Metric,3,Bias leg to 3V3; smaller than R4 on purpose
R4 R12 R39,143k 1%,,R_0805_2012Metric,3,Bias leg to AGND
R5 R6 R13 R14 R40 R41,2.67k 1%,,R_0805_2012Metric,6,"Sallen-Key series resistors, equal pair"
R7 R15 R42,10k 0.1%,,R_0805_2012Metric,3,Gain stage feedback
R8 R16 R43,2.67k 0.1%,,R_0805_2012Metric,3,"Gain stage, switched to VMID for the fine range; sized so 1% parts still cannot push the range past the converter"
R17 R18,10k 0.1%,,R_0805_2012Metric,2,VMID divider from 3V3
R19-R26,330R 1%,,R_0805_2012Metric,8,Logic input series protection
R27-R34,100k DNP,,R_0805_2012Metric,8,Optional logic pulldowns
R35,100R 1%,,R_0805_2012Metric,1,Test output series
C1 C8 C16,6.8pF C0G,,C_0603_1608Metric,3,Divider compensation; pairs with C4
TC1 TC2 TC3,0.5-3pF trimmer,,C_Trimmer_Murata_TZC3,3,Compensation adjustment against the test square wave
C4 C9 C17,82pF C0G,,C_0603_1608Metric,3,Sets the node capacitance the compensation is computed from
C6 C7 C10 C11 C18 C19,1nF C0G,,C_0603_1608Metric,6,"Sallen-Key shunt to VMID, and the reservoir at the converter pin"
C12 C13 C20,100nF X7R,,C_0603_1608Metric,3,U1/U2/U3 decoupling
C14,10uF X7R,,C_0805_2012Metric,1,Board bulk
C15,1uF X7R,,C_0603_1608Metric,1,"VMID divider bypass, before U1D buffer"
U1,TLV9064IDR,Quad RRIO 10MHz op amp,SOIC-14_3.9x8.7mm_P1.27mm,1,Three gain stages and one VMID buffer
U2 U3,TS5A23159DGSR,Dual SPDT analogue switch,TSSOP-10_3x3mm_P0.5mm,2,Three range switches; unused U3B control grounded and signal pins NC
D1 D2 D3,BAV199,Low-leakage dual diode,SOT-23,3,One dual-series package per node; pin 1 GND / pin 2 3V3 / pin 3 node
D5 D6 D7,ESD low-cap TVS DNP,,SOD-323,3,Fit only after measuring what it does to the compensation
J3 J4 J10,1x2 header,,PinHeader_1x02_P2.54mm_Vertical,3,Analogue inputs
J5,1x10 header,,PinHeader_1x10_P2.54mm_Vertical,1,Logic D0-D7 plus two grounds
J6 J7,1x20 socket,,PinSocket_1x20_P2.54mm_Vertical,2,Pico 2
TP1-TP7,Test point,,TestPoint_Plated_Hole_D2.0mm,7,"CH1 node, CH2 node, VMID, 3V3, AGND, test output, CH3 node"
R44 R45 R46,1k 1%,,R_0805_2012Metric,3,Isolates the filter output from the converter sampling capacitor
C21 C22 C23,2.2nF C0G,,C_0603_1608Metric,3,Sallen-Key feedback capacitor; sets Q with the 1 nF shunt
U4,TLV9064IDR,Quad RRIO 10MHz op amp,SOIC-14_3.9x8.7mm_P1.27mm,1,"Three anti-alias filters; U4D unused, input tied to VMID"
C24,100nF X7R,,C_0603_1608Metric,1,U4 decoupling
