Designator,Value,Part,Footprint,Qty,Notes
R1 R2 R9 R10,499k 1%,,R_0805_2012Metric,4,"Input resistor split in two so each sees half the voltage"
R3 R11,125k 1%,,R_0805_2012Metric,2,"Bias leg to 3V3; smaller than R4 on purpose"
R4 R12,143k 1%,,R_0805_2012Metric,2,"Bias leg to AGND"
R5 R6 R13 R14,1k 1%,,R_0805_2012Metric,4,"Anti-alias filter and converter isolation"
R7 R15,10k 0.1%,,R_0805_2012Metric,2,"Gain stage feedback"
R8 R16,2.67k 0.1%,,R_0805_2012Metric,2,"Gain stage, switched to VMID for the fine range; sized so 1% parts still cannot push the range past the converter"
R17 R18,10k 0.1%,,R_0805_2012Metric,2,"VMID divider from 3V3"
R19-R26,330R 1%,,R_0805_2012Metric,8,"Logic input series protection"
R27-R34,100k DNP,,R_0805_2012Metric,8,"Optional logic pulldowns"
R35,100R 1%,,R_0805_2012Metric,1,"Test output series"
C1 C8,6.8pF C0G,,C_0603_1608Metric,2,"Divider compensation; pairs with C4"
TC1 TC2,0.5-3pF trimmer,,C_Trimmer_Murata_TZC3,2,"Compensation adjustment against the test square wave"
C4 C9,82pF C0G,,C_0603_1608Metric,2,"Sets the node capacitance the compensation is computed from"
C6 C7 C10 C11,1nF C0G,,C_0603_1608Metric,4,"Anti-alias filter"
C12 C13,100nF X7R,,C_0603_1608Metric,2,"Amplifier decoupling"
C14,10uF X7R,,C_0805_2012Metric,1,"Board bulk"
C15,1uF X7R,,C_0603_1608Metric,1,"VMID divider bypass, before U1D buffer"
U1,TLV9064IDR,Quad RRIO 10MHz op amp,SOIC-14_3.9x8.7mm_P1.27mm,1,"Two gain stages, one VMID buffer, one spare tied off"
U2,TS5A23159DGSR,Dual SPDT analogue switch,TSSOP-10_3x3mm_P0.5mm,1,"Range switch; sits at VMID so its resistance never sees signal"
D1 D2,BAV199,Low-leakage dual diode,SOT-23,2,"One dual-series package per node; pin 1 GND / pin 2 3V3 / pin 3 node"
D5 D6,ESD low-cap TVS DNP,,SOD-323,2,"Fit only after measuring what it does to the compensation"
J1 J2,BNC,,BNC_Amphenol_031-6575_Horizontal,2,"Analogue inputs"
J3 J4,1x2 header,,PinHeader_1x02_P2.54mm_Vertical,2,"Analogue inputs, flying lead alternative"
J5,1x10 header,,PinHeader_1x10_P2.54mm_Vertical,1,"Logic D0-D7 plus two grounds"
J6 J7,1x20 socket,,PinSocket_1x20_P2.54mm_Vertical,2,"Pico 2"
TP1-TP6,Test point,,TestPoint_Plated_Hole_D2.0mm,6,"CH1 node, CH2 node, VMID, 3V3, AGND, test output"
