Reference,Value,Footprint,DNP,Datasheet
C1,6.8p C0G,PiLyzer:C_0603_1608Metric,no,
C4,82p C0G,PiLyzer:C_0603_1608Metric,no,
C6,1n C0G,PiLyzer:C_0603_1608Metric,no,
C7,1n C0G,PiLyzer:C_0603_1608Metric,no,
C8,6.8p C0G,PiLyzer:C_0603_1608Metric,no,
C9,82p C0G,PiLyzer:C_0603_1608Metric,no,
C10,1n C0G,PiLyzer:C_0603_1608Metric,no,
C11,1n C0G,PiLyzer:C_0603_1608Metric,no,
C12,100n X7R,PiLyzer:C_0603_1608Metric,no,
C13,100n X7R,PiLyzer:C_0603_1608Metric,no,
C14,10u X7R,PiLyzer:C_0805_2012Metric,no,
C15,1u X7R,PiLyzer:C_0603_1608Metric,no,
C16,6.8p C0G,PiLyzer:C_0603_1608Metric,no,
C17,82p C0G,PiLyzer:C_0603_1608Metric,no,
C18,1n C0G,PiLyzer:C_0603_1608Metric,no,
C19,1n C0G,PiLyzer:C_0603_1608Metric,no,
C20,100n X7R,PiLyzer:C_0603_1608Metric,no,
C21,2.2n C0G,PiLyzer:C_0603_1608Metric,no,
C22,2.2n C0G,PiLyzer:C_0603_1608Metric,no,
C23,2.2n C0G,PiLyzer:C_0603_1608Metric,no,
C24,100n X7R,PiLyzer:C_0603_1608Metric,no,
D1,BAV199,PiLyzer:SOT-23,no,https://assets.nexperia.com/documents/data-sheet/BAV199.pdf
D2,BAV199,PiLyzer:SOT-23,no,https://assets.nexperia.com/documents/data-sheet/BAV199.pdf
D3,BAV199,PiLyzer:SOT-23,no,https://assets.nexperia.com/documents/data-sheet/BAV199.pdf
D5,TVS DNP,PiLyzer:D_SOD-323,yes,
D6,TVS DNP,PiLyzer:D_SOD-323,yes,
D7,TVS DNP,PiLyzer:D_SOD-323,yes,
J3,Input header,PiLyzer:PinHeader_1x02_P2.54mm_Vertical,no,
J4,Input header,PiLyzer:PinHeader_1x02_P2.54mm_Vertical,no,
J5,Logic D0–D7 + GND,PiLyzer:PinHeader_1x10_P2.54mm_Vertical,no,
J6,Pico 2 socket,PiLyzer:PinSocket_1x20_P2.54mm_Vertical,no,
J7,Pico 2 socket,PiLyzer:PinSocket_1x20_P2.54mm_Vertical,no,
J10,Input header,PiLyzer:PinHeader_1x02_P2.54mm_Vertical,no,
R1,499k 1%,PiLyzer:R_0805_2012Metric,no,
R2,499k 1%,PiLyzer:R_0805_2012Metric,no,
R3,125k 1%,PiLyzer:R_0805_2012Metric,no,
R4,143k 1%,PiLyzer:R_0805_2012Metric,no,
R5,2.67k 1%,PiLyzer:R_0805_2012Metric,no,
R6,2.67k 1%,PiLyzer:R_0805_2012Metric,no,
